label,author,comment,id,channel,title
1,BRETHendrick,"Bermain di 𝔸𝕃𝔽𝔸𝔹𝔼𝕋𝟡𝟡 selalu memiliki sistem yang adil, setiap hari jadi menyenangkan",8zM08uVf0n8,Deddy Corbuzier,DJ YASMIN: Aku sampe hampir diperka0s sama Om itu.. loh!! - Praz Teguh
0,jodhyaponno5780,SIDRAP (SIDENDRENG RAPPANG),8zM08uVf0n8,Deddy Corbuzier,DJ YASMIN: Aku sampe hampir diperka0s sama Om itu.. loh!! - Praz Teguh
1,LuciaCarreo-r4q,"Keberuntungan besar datang dari 𝐀X𝘓𝟳7𝟩, nggak nyesel coba main!",rLo7KkkSBKw,Official iNews,"Menang Praperadilan dari Sekjen PDIP Hasto, KPK: Putusan Sudah Objektif | News Flash"
1,WARNERKeeney,"Main di 🎰𝐌𝐄𝐆𝐀𝐁𝐄𝐓𝟗𝟗🎰, dapet jackpot x400, WD cepat 2 juta. Lo harus coba juga, pasti hoki!",8zM08uVf0n8,Deddy Corbuzier,DJ YASMIN: Aku sampe hampir diperka0s sama Om itu.. loh!! - Praz Teguh
1,LORENZOFarley-r6e,"Main di ＭΛＮDALIKΛ𝟟𝟟� bikin happy banget, hasilnya gacir abis!",CIUnp8NMw8w,Deddy Corbuzier,TERNYATA ARAFAH PERNAH PACARAN SAMA ATE‼️😅 - PUTUSNYA GARA2.. MENDING LU TONTON AJA‼️🤣🤣🤣
1,DALEVieira-d3m,"Seru banget main di 𝔸𝕃𝔽𝔸𝔹𝔼𝕋𝟡𝟡 karena selalu ada peluang besar, jadi betah",hHuahFR3_dc,Deddy Corbuzier,FITROP: AYO OM DED JOGET BAPAK2 GA PAKE BAJU TUNJUKIN‼️🤣Vidi Aldiano - Podcast
1,Mehrotrasucipto-v4d,"gachor bgt, langsung jepe di 𝘋𝙊𝐑A𝟳𝟩",CIUnp8NMw8w,Deddy Corbuzier,TERNYATA ARAFAH PERNAH PACARAN SAMA ATE‼️😅 - PUTUSNYA GARA2.. MENDING LU TONTON AJA‼️🤣🤣🤣
0,thelmachristina,"Jen, STAY STRONG... Kamari BANGGA punya kamu sbg Ibu... terus berdoa yaa, minta TUHAN kasih kekuatan utk kamu jalanin peran as a single mom... Kami juga BANGGA sama kamu ❤❤❤",L3eyphPyWDw,CURHAT BANG Denny Sumargo,JENNIFER COPPEN & DALI TIDAK ADA HUBUNGAN PAS HAMIL !! KAMARI TIDAK AKAN DI TITIP KE YAYA
0,yassirlierahmah3730,disini aku lihat yaya di mamari,L3eyphPyWDw,CURHAT BANG Denny Sumargo,JENNIFER COPPEN & DALI TIDAK ADA HUBUNGAN PAS HAMIL !! KAMARI TIDAK AKAN DI TITIP KE YAYA
0,ini.mejimoiiiii,"sumpah setiap liat kamari bawaannya sedih bgt, krna keingat anak tetangga (walaupun segi usia mungkin beda 3-2 tahun sma kamari) yg juga di tinggal sma org tuanya. Pertama kali d tinggal sma bapanya tahun 2023 karna sakit tiba tiba meninggal pas baru di rawat d rs sehari. Sampai mmnya cerita kemama ku, ""kasian dede belum paham apa apa sdh ga ada bapanya"". Trs 2024 mamanya meninggal kecelakaan di t4brak mobil, supir mobilnya m4buk, mma nya langsung meningg4l di tempat (kejadiannya jam 7 pgi) . sumpah sedih banget ga kebayang gimana di tinggal orang tua dlm waktu yg dekat, tpi untungnya dede masih punya 2 abang, yg satu sekolah kls 11 yg satu masih kls 10.",L3eyphPyWDw,CURHAT BANG Denny Sumargo,JENNIFER COPPEN & DALI TIDAK ADA HUBUNGAN PAS HAMIL !! KAMARI TIDAK AKAN DI TITIP KE YAYA
1,QUINNFavela,𝔾𝔸 ℝ𝕌 𝔻𝔸 ℍ𝕆 𝕂𝕀..Dijamin Profit💗,rfwx8XFL7Do,Deddy Corbuzier,"CAT TEMBOK, WIPOL HRS HALAL⁉️SAMA YG MERAS WARTEG SIAPA BANG?"
1,PatCulver-i6q,"Sebelumnya bermain di tempat lain terasa tidak memberikan banyak promosi, pindah ke 𝔸𝕃𝔽𝔸𝔹𝔼𝕋𝟡𝟡 lebih puas",hHuahFR3_dc,Deddy Corbuzier,FITROP: AYO OM DED JOGET BAPAK2 GA PAKE BAJU TUNJUKIN‼️🤣Vidi Aldiano - Podcast
0,anakdesabanget6152,"Yang merusak tatanan kenegaran tangkap bos speeti yg nasuk manusia terkorup dunia tangkap adili, miskinkan. Enak enak manui kaya gitu",AmSHJW-rNSE,Official iNews,"🔴BREAKING NEWS  Dampak Efisiensi, Bagaimana Nasib Honorer? | LIVE | 14/02"
0,WowCreate-w4u,"Om Dedy kelihatan sisi kebapakannya di sini, kayak lg ngomong sama Nada. Mungkin gitu ya laki2 kalau punya anak cewek, jd lembut. Suka lihatnya bisa juga ya om ded begini.",BS21KvYlX2Q,Deddy Corbuzier,"VILMEI NANGIS, OM AKU PUNYA BUKTI CHAT DIA KE WILLIE‼️JAHAT BGT BUAT AKU.. AKU BUKA DISINI!  livy"
1,MmcelroyPrelevic-h5t,"Iseng-iseng mencoba bermain 𝘈𝐗𝘓𝟽𝟽𝟩, justru malah menjadi ahli, rezeki terus menerus datang!",rLo7KkkSBKw,Official iNews,"Menang Praperadilan dari Sekjen PDIP Hasto, KPK: Putusan Sudah Objektif | News Flash"
0,Abil23-v3z,"kamu jadi idola istriku bahkan latar belakang kita sama sampe sekarang istriku sama anak ku umur 14bln aja suka sama kamari bahkan liat sg kamu sama kamari lgsg cepet"" lari dan liat sehat terus wanita hebat kamari❤",L3eyphPyWDw,CURHAT BANG Denny Sumargo,JENNIFER COPPEN & DALI TIDAK ADA HUBUNGAN PAS HAMIL !! KAMARI TIDAK AKAN DI TITIP KE YAYA
1,PetrinaOlmos,"Dulu bermain di tempat lain terasa terasa tidak menguntungkan, tetapi setelah pindah ke 𝑪𝑵𝑫88 jauh lebih puas",8zM08uVf0n8,Deddy Corbuzier,DJ YASMIN: Aku sampe hampir diperka0s sama Om itu.. loh!! - Praz Teguh
0,smdiary2965,"Apa itu gym, resto padang is a pride",SER4W3zDc2c,lookatme,KETIKA AZKA NADA DAN KAK SABRINA REBUTAN SAHAM OM DEDDY ! #deddycorbuzier #vidialdiano #podcast
0,dearlylily6606,ini masih jadi smart people?,BS21KvYlX2Q,Deddy Corbuzier,"VILMEI NANGIS, OM AKU PUNYA BUKTI CHAT DIA KE WILLIE‼️JAHAT BGT BUAT AKU.. AKU BUKA DISINI!  livy"
1,AntunesSbaloch-u1o,"Ternyata main di D𝘖Я𝐀𝟳𝟳 bikin rezeki datang begitu saja, langsung gacir!",8fmASYXIpOE,Official iNews,Anggota KKB Digiring ke Mapolda Papua dari Bandara Elelim | iNews Pagi | 14/02
0,tiurmargaretha,"jennifer, you gonna live a long life, there will be so much happiness come to you and kamari, everything is gonna be okay, your heart will be filled with so much joy, be strong still...",L3eyphPyWDw,CURHAT BANG Denny Sumargo,JENNIFER COPPEN & DALI TIDAK ADA HUBUNGAN PAS HAMIL !! KAMARI TIDAK AKAN DI TITIP KE YAYA
0,enimaryani7684,jeeennn 🥺🫂,L3eyphPyWDw,CURHAT BANG Denny Sumargo,JENNIFER COPPEN & DALI TIDAK ADA HUBUNGAN PAS HAMIL !! KAMARI TIDAK AKAN DI TITIP KE YAYA
1,GmahajanGarcia-q7k,Pertimbangkan untuk menjelajahi D𝐸𝙒𝘈𝘿OR𝘼 jika Anda menghargai desain yang inovatif.,tlaWqBqfWvk,Tribunnews,Pengamat Klaim Prabowo Kalah dari Jokowi soal Kekuatan Politik meski Jadi Presiden & Ketum Gerindra
0,Createvideos-gp7jr,Habis ngatain om ded eh sekarang dia yang deact account di x🤣🤣,BS21KvYlX2Q,Deddy Corbuzier,"VILMEI NANGIS, OM AKU PUNYA BUKTI CHAT DIA KE WILLIE‼️JAHAT BGT BUAT AKU.. AKU BUKA DISINI!  livy"
0,UlikSpt,"sangat aneh negara mayoritas islam, semua harus ada lebel halal",rfwx8XFL7Do,Deddy Corbuzier,"CAT TEMBOK, WIPOL HRS HALAL⁉️SAMA YG MERAS WARTEG SIAPA BANG?"
0,hafizalgifari,37:13  akhirnya keluar juga bagian lucu nya.. wkwkkw,rfwx8XFL7Do,Deddy Corbuzier,"CAT TEMBOK, WIPOL HRS HALAL⁉️SAMA YG MERAS WARTEG SIAPA BANG?"
1,JulienneUrrutia,ＨＡＵ  Ｓ Ｗ ＩＮ １３ ８_Pasti Jepe❤,rfwx8XFL7Do,Deddy Corbuzier,"CAT TEMBOK, WIPOL HRS HALAL⁉️SAMA YG MERAS WARTEG SIAPA BANG?"
0,indoaussie9144,Memang serba salah hidup di negara tercinta kita ini😁🤣😂,XfksJlRNy2A,guru gembul,"Eps 832 | DEDDY CORBUZIER PASTI TAHU, DILEMA AIB PARA INFLUENCER KITA BUKA DI SINI"
1,Madushancastro-u3c,"Jika Anda ingin meningkatkan keterampilan Anda, 𝘿OR𝘈𝟩𝟽 bisa bermanfaat.",rLo7KkkSBKw,Official iNews,"Menang Praperadilan dari Sekjen PDIP Hasto, KPK: Putusan Sudah Objektif | News Flash"
1,AyuRahayu-y2j,HARTA138 Memang top markotop! JP terus!,Qn5dAf3HSCA,Azka Corbuzier,"AZKA PURA-PURA SAKIT, BIAR DIPERIKSA SAMA INDAHKUS!!"
1,LOWELLParish,"Main aman, untung maksimal, cuma di 𝗠𝑨𝑵𝐃𝐀𝑳𝗜𝗞𝐀𝟕7!",L3eyphPyWDw,CURHAT BANG Denny Sumargo,JENNIFER COPPEN & DALI TIDAK ADA HUBUNGAN PAS HAMIL !! KAMARI TIDAK AKAN DI TITIP KE YAYA
